,label,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,electronic,172.265625,214499,1276.779761904762,0.62086964,0.2414939,0.0583193,0.42484415,0.22520052,0.05071527,0.2540921,0.13700561,0.018770538,17.092321,100.427055,10085.594,8.634369,36.388897,1324.1519,0.014975207,1.7888548,3.2000015,0.26603717,0.038818706,0.0015068919,1523.7358029475702,442.95054323536056,196205.18375250103,2428.487907134047,289.605849652812,83871.54815312715,18.060697327867967,6.699511281275176,44.88345140793335,3712.073386933412,1466.6628411716981,2151099.8896738375,2.5131225192826387,2.639827723698749,6.968690410808518,0.027598602458674373,0.07747579321393795,0.006002498534128873,0.02623037804760062,0.01190472260034398,0.00014172242019114075,-8.3067e-06,0.21508358,0.04626095,6.1936807e-06,0.08050226,0.006480613,2.0387120181405893,1.135182713200785,1.2886397923498956
2,electronic,103.359375,132018,1269.4038461538462,0.3588745,0.30804646,0.09489261,0.48477396,0.2716077,0.07377075,0.26045957,0.12447551,0.015494153,7.426928,103.47622,10707.327,-8.474076,54.882343,3012.0715,0.012416577,3.2854936,10.794468,0.1317488,0.1237501,0.015314087,1912.9321921120918,1199.1323780619985,1437918.4601166234,1847.432477494623,821.4108420851665,674715.7714950623,21.475555875864412,7.040609308032697,49.57017942835665,3539.661929481908,2388.5677705450325,5705255.994486468,1.545087677837162,2.5095007748948093,6.297594139197648,-0.004270523836176195,0.10635324933033977,0.011311013643121417,0.09898409533426858,0.07394454099699252,0.005467795143255908,1.4320442e-05,0.13928692,0.019400846,0.00016733824,0.07357311,0.0054130033,1.724081632653061,0.9893683171396557,0.9788496669597544
3,electronic,123.046875,155261,1283.1487603305786,0.4997301,0.30441967,0.092671335,0.5126529,0.2541849,0.06460997,0.2555677,0.13423292,0.018018477,13.603593,190.78783,36399.992,5.013512,41.91571,1756.9268,0.010010698,4.418266,19.521074,0.20637423,0.12773713,0.016316777,2328.643920020739,1213.0302064467733,1471442.2817523014,2619.398230640942,721.5156035593936,520584.76617967605,17.887185489873083,7.690278569090581,59.140384470213874,5221.014262574376,2647.4756898852993,7009127.528533642,1.821549758786854,2.4938400633228848,6.219238261434291,0.04885554856566395,0.05691040581933777,0.0032387942905217145,0.07445098593508127,0.07264346813754877,0.005277073463051063,2.446173e-06,0.1616499,0.02613069,0.00011632418,0.11750911,0.013808391,1.6033378684807258,0.810987457161518,0.6577006556733049
4,electronic,135.99917763157896,170470,1272.1641791044776,0.31029814,0.29389003,0.08637135,0.23294288,0.2771904,0.07683451,0.18055761,0.2252383,0.05073229,12.993877,86.59203,7498.18,4.8948507,55.560966,3087.021,0.013586174,1.8712707,3.501654,0.2197176,0.084276706,0.0071025635,1117.7079554826198,745.2391115710619,555381.3334152256,1702.4671829555064,651.1555368949104,424003.53322889894,21.570504702074885,5.994530581426261,35.934396891654664,2201.3741885914524,1744.4947551574376,3043261.9507718077,2.0189025589432754,2.397427460420238,5.747658427977032,0.05420273678677143,0.20446369343190915,0.04180540193181773,0.036476158874322755,0.03172287457734864,0.0010063407714501927,7.055321e-06,0.21123265,0.04461923,-1.1181842e-05,0.05549065,0.0030792123,3.44584126984127,1.825853410966707,3.3337406783387586
5,electronic,103.359375,130218,1276.6470588235295,0.4165559,0.31666,0.10027355,0.39489713,0.29021472,0.08422458,0.22777398,0.17734812,0.031452358,4.7769237,42.578445,1812.924,-0.68795526,47.42141,2248.79,0.011598129,2.824646,7.9786243,0.13282995,0.066473976,0.0044187894,2560.1531059244085,1122.4129360701434,1259810.7990575999,2591.045755333388,708.6933624143395,502246.2819301423,20.43617384931402,7.048738295622785,49.6847115601792,5537.7248474687985,2375.047820681526,5640852.150524067,1.381674394485683,1.848750187643486,3.4178772563118245,-0.0046727097669972545,0.1913039329324152,0.03659719475541002,0.10712255708204334,0.08189710964714134,0.00670713656855589,1.6857902e-06,0.12578835,0.015822707,-1.4528995e-05,0.051022813,0.0026033274,16.387482993197278,8.132421996728253,66.13628753286953
6,electronic,123.046875,159243,1273.944,0.46629012,0.3201163,0.10247444,0.6132928,0.2281286,0.05204266,0.2708479,0.09987374,0.009974763,22.152252,277.22455,76853.45,2.6092067,69.827965,4875.945,0.0009915951,3.9726565,15.782,0.25819188,0.1628991,0.02653612,519.6354568094259,370.85972947708757,137536.9389478186,874.2713198259787,477.76476962996327,228259.17509957188,20.485487266772267,8.112793587045008,65.8174197859986,955.9567194605021,1015.3077569503108,1030849.8413234715,1.9184774133260603,2.5588064905434997,6.547490656047542,0.01124444184246891,0.0384779530672724,0.0014805528722472176,0.016284859955495355,0.008909069171541028,7.937151350330276e-05,-1.3548274e-06,0.22297171,0.049716383,0.00066929095,0.12252058,0.015011292,2.3289614512471655,1.3715329651085688,1.8811026743795025
7,electronic,99.38401442307692,124898,1274.469387755102,0.5464039,0.28214213,0.079604186,0.58953786,0.22469687,0.050488684,0.26773405,0.10794355,0.011651809,12.503563,124.317055,15454.73,4.9906163,45.243374,2046.963,0.004935441,4.425694,19.586765,0.21571213,0.09146553,0.008365944,2731.6101497518403,1585.232597284298,2512962.3874927214,2462.776859342706,704.5492735665839,496389.6788832011,19.87025956960104,7.820689210210019,61.16317972269541,5354.3926227203465,2604.0002685823238,6780817.398776813,1.7273494890175423,2.177311730793722,4.740686373051953,0.004152345319752904,0.04918380478695714,0.0024190466533215087,0.09218179330737229,0.10545649869372573,0.011121073116739776,9.890095e-06,0.17678818,0.03125406,-3.5214634e-05,0.09840924,0.009684379,1.612625850340136,0.8333497446546042,0.694471796915894
8,electronic,143.5546875,182326,1447.031746031746,0.32019982,0.3000207,0.09001241,0.27846903,0.2813826,0.07917616,0.1982488,0.20983504,0.044030745,7.7431574,56.708088,3215.8074,-4.0463142,47.547497,2260.7644,0.013116277,1.986085,3.944534,0.16317752,0.09385505,0.008808771,2353.7661947732418,1088.988238336614,1185895.3832354818,2458.116409625549,880.0847824400657,774549.2242825779,22.35343766800893,6.067426425326746,36.813663426753294,5031.107077583809,2530.3611462919057,6402727.530663688,1.8494090931676963,2.509394315398009,6.2970598301518415,-0.031783099675712384,0.2147349519495004,0.04611109958875424,0.10486293355746903,0.0690777201947991,0.004771731427310955,-6.6600376e-05,0.16404091,0.02690942,-0.0002592036,0.049857587,0.002485779,6.198566893424036,2.7020632818218133,7.301145978969669
9,electronic,151.99908088235293,190467,1261.3708609271523,0.4015314,0.30913818,0.09556641,0.3985262,0.26784083,0.071738705,0.24025397,0.16003552,0.025611367,29.114113,277.09592,76782.15,1.3193741,33.778343,1140.9764,0.007320689,3.2895496,10.821136,0.31810308,0.1714193,0.029384572,2513.0018273222445,885.5749274092777,784242.9520559475,2325.9124049368484,542.326303127424,294117.81906385865,22.87506398589572,7.699919545995714,59.288761014806845,4941.774284433654,1811.6047457258828,3281911.754736541,2.8968671927705785,3.5082846413600404,12.308061124802748,0.013581132305366495,0.12380197673914478,0.015326929444519745,0.09870272893285603,0.07451780791275198,0.0055529036961218005,-5.79734e-05,0.29646927,0.08789403,0.0013511563,0.16238843,0.026370004,3.221768707482993,1.9862479366879637,3.945180865997193
10,electronic,83.35433467741936,101688,1255.4074074074074,0.5975018,0.23845771,0.056862082,0.64661777,0.21668567,0.04695268,0.27293694,0.094014734,0.008838771,34.812675,286.51028,82088.14,8.14343,23.72657,562.95013,0.0040969662,2.4645488,6.0740004,0.3575532,0.16350856,0.026735049,2666.0488669991073,810.6542494769022,657160.3121949596,2659.2970279844385,503.8805114618273,253895.56983103268,17.71573350460286,7.28974542224202,53.14038832109849,5794.46912830459,1687.9181098509814,2849067.5455629095,4.167694976013157,4.491970949625575,20.17780301228009,0.0025530073381394417,0.04049872391902272,0.0016401466390692232,0.10477071945143189,0.06403638995733257,0.004100659238767564,-6.1581527e-06,0.31190643,0.09728561,0.0004929547,0.13256727,0.017574083,8.46483446712018,2.9027495071502996,8.425954701261306
11,electronic,89.10290948275862,112117,1274.0568181818182,0.48445025,0.32772964,0.10740672,0.44749054,0.30318442,0.09192079,0.23730214,0.16438073,0.027021024,19.750578,170.12413,28942.22,3.0084481,28.237722,797.369,0.004807281,2.7871466,7.7681856,0.2897354,0.126446,0.015988588,3592.9422482399505,906.5471160096283,821827.6735453745,3009.261948676552,227.6567164738942,51827.58055567505,19.063231216393294,7.996624384152593,63.94600154122384,7339.497285730698,1012.5168144666317,1025190.2995776554,3.2802588588001456,4.423950556595953,19.571338527205643,-0.0007611551926105707,0.16582468657124858,0.02749782667645283,0.15934162907556115,0.12651198123280652,0.01600528139544999,-1.1108324e-06,0.2357685,0.05558678,-0.00036177732,0.1469993,0.021608794,4.628897959183673,2.9484887766815846,8.693586066217266
12,electronic,129.19921875,158486,1257.8253968253969,0.41853338,0.29964647,0.089788005,0.4222488,0.2892379,0.08365855,0.23804376,0.16330495,0.02666851,8.741479,73.02488,5332.6333,3.2594602,57.694355,3328.6387,0.0058532287,4.5916133,21.082912,0.1745203,0.09728979,0.009465303,1591.3921624374054,770.832146043183,594182.1973735391,1605.1935906747015,415.11006578059147,172316.36671236696,22.83102471852672,8.021074351001301,64.33763374429094,3097.668768820748,1473.4213788931293,2170970.5597793306,1.834189055167842,2.574229165516988,6.626655796598289,-0.0014385207107303153,0.1505988318453769,0.022680008153192106,0.06932611140673374,0.05245647110872029,0.0027516813611800062,6.7610486e-06,0.13135889,0.01725516,2.6806558e-05,0.12065036,0.014556509,3.988027210884354,2.2744994541273367,5.173347766825552
13,electronic,129.19921875,164717,1276.875968992248,0.54129237,0.27690968,0.07667897,0.3688055,0.2990294,0.08941858,0.21994548,0.18696879,0.034957327,8.999726,130.49815,17029.768,-2.4249668,42.80488,1832.2576,0.005893174,4.812688,23.161966,0.15649253,0.1273637,0.01622151,3565.309301764728,1133.2522733940127,1284260.715152698,2901.3702742021856,407.6168364993472,166151.48539773552,19.76012131328693,7.131315949418999,50.8556671704378,7024.890854779412,1570.3799823564034,2466093.288985698,1.4081421749540721,2.297162158982996,5.276953984663419,-0.008022544372220683,0.14372889321291793,0.02065799474421037,0.16423388974216332,0.1172876953788924,0.013756403487291857,3.025247e-07,0.15985104,0.025552358,-0.00013292347,0.10512936,0.011052182,1.8784943310657596,1.1041790383298438,1.2192113486870184
14,electronic,123.046875,155242,1293.6833333333334,0.34726208,0.30436864,0.09264027,0.4209074,0.2584705,0.06680701,0.23606423,0.16615361,0.02760702,9.392265,68.879684,4744.4106,-0.49515778,72.27956,5224.3345,0.0029555436,3.3351936,11.123516,0.18565916,0.071875244,0.005166051,676.3167288411865,468.82889653914333,219800.53423011076,1031.6779801345792,549.6557382275099,302121.4305664289,22.62251599664663,8.251535477078473,68.08783772948466,1145.5514063407024,1258.8792591084068,1584776.9890133312,1.6256719583698407,1.918735060277101,3.6815442315365705,-0.042721002657348045,0.09584099313004635,0.00918549596415359,0.03475678151606037,0.013903925048373945,0.00019331913175080038,-6.170638e-06,0.17312346,0.029971732,2.7425644e-05,0.05853281,0.00342609,1.2318185941043085,0.7101843152970533,0.5043617616939444
